Member,Type,Section,Length_m,Total_kg,UR
231,GIRT,200X65X15NB,7.203,34.57,0.333
232,GIRT,200X65X15NB,7.203,34.57,0.333
233,GIRT,200X65X15NB,7.203,34.57,0.333
234,GIRT,200X65X15NB,7.203,34.57,0.333
235,PURLIN,200X65X15NB,7.203,34.57,0.333
236,PURLIN,200X65X15NB,7.203,34.57,0.333
237,PURLIN,200X65X15NB,7.203,34.57,0.333
238,PURLIN,200X65X15NB,7.203,34.57,0.333
239,PURLIN,200X65X15NB,7.203,34.57,0.333
240,PURLIN,200X65X15NB,7.203,34.57,0.333
241,PURLIN,200X65X15NB,7.203,34.57,0.333
242,PURLIN,200X65X15NB,7.203,34.57,0.333
243,PURLIN,200X65X15NB,7.203,34.57,0.333
244,PURLIN,200X65X15NB,7.203,34.57,0.333
245,PURLIN,200X65X15NB,7.203,34.57,0.333
246,PURLIN,200X65X15NB,7.203,34.57,0.333
247,PURLIN,200X65X15NB,7.203,34.57,0.333
248,PURLIN,200X65X15NB,7.203,34.57,0.333
249,PURLIN,200X65X15NB,7.203,34.57,0.333
250,PURLIN,200X65X15NB,7.203,34.57,0.333
251,PURLIN,200X65X15NB,7.203,34.57,0.333
252,PURLIN,200X65X15NB,7.203,34.57,0.333
253,PURLIN,200X65X15NB,7.203,34.57,0.333
254,PURLIN,200X65X15NB,7.203,34.57,0.333
255,PURLIN,200X65X15NB,7.203,34.57,0.333
256,PURLIN,200X65X15NB,7.203,34.57,0.333
257,PURLIN,200X65X15NB,7.203,34.57,0.333
258,PURLIN,200X65X15NB,7.203,34.57,0.333
259,PURLIN,200X65X15NB,7.203,34.57,0.333
260,PURLIN,200X65X15NB,7.203,34.57,0.333
261,PURLIN,200X65X15NB,7.203,34.57,0.333
262,GIRT,200X65X15NB,7.203,34.57,0.333
263,GIRT,200X65X15NB,7.203,34.57,0.333
264,GIRT,200X65X15NB,7.203,34.57,0.333
265,GIRT,200X65X15NB,7.203,34.57,0.333
266,PURLIN,200X65X15NB,7.203,34.57,0.333
267,PURLIN,200X65X15NB,7.203,34.57,0.333
268,PURLIN,200X65X15NB,7.203,34.57,0.333
269,PURLIN,200X65X15NB,7.203,34.57,0.333
270,PURLIN,200X65X15NB,7.203,34.57,0.333
271,PURLIN,200X65X15NB,7.203,34.57,0.333
272,PURLIN,200X65X15NB,7.203,34.57,0.333
273,PURLIN,200X65X15NB,7.203,34.57,0.333
274,PURLIN,200X65X15NB,7.203,34.57,0.333
275,PURLIN,200X65X15NB,7.203,34.57,0.333
276,PURLIN,200X65X15NB,7.203,34.57,0.333
277,PURLIN,200X65X15NB,7.203,34.57,0.333
278,PURLIN,200X65X15NB,7.203,34.57,0.333
279,PURLIN,200X65X15NB,7.203,34.57,0.333
280,PURLIN,200X65X15NB,7.203,34.57,0.333
281,PURLIN,200X65X15NB,7.203,34.57,0.333
282,PURLIN,200X65X15NB,7.203,34.57,0.333
283,PURLIN,200X65X15NB,7.203,34.57,0.333
284,PURLIN,200X65X15NB,7.203,34.57,0.333
285,PURLIN,200X65X15NB,7.203,34.57,0.333
286,PURLIN,200X65X15NB,7.203,34.57,0.333
287,PURLIN,200X65X15NB,7.203,34.57,0.333
288,PURLIN,200X65X15NB,7.203,34.57,0.333
289,PURLIN,200X65X15NB,7.203,34.57,0.333
290,PURLIN,200X65X15NB,7.203,34.57,0.333
291,PURLIN,200X65X15NB,7.203,34.57,0.333
292,PURLIN,200X65X15NB,7.203,34.57,0.333
293,GIRT,200X65X15NB,7.203,34.57,0.333
294,GIRT,200X65X15NB,7.203,34.57,0.333
295,GIRT,200X65X15NB,7.203,34.57,0.333
296,GIRT,200X65X15NB,7.203,34.57,0.333
297,PURLIN,200X65X15NB,7.203,34.57,0.333
298,PURLIN,200X65X15NB,7.203,34.57,0.333
299,PURLIN,200X65X15NB,7.203,34.57,0.333
300,PURLIN,200X65X15NB,7.203,34.57,0.333
301,PURLIN,200X65X15NB,7.203,34.57,0.333
302,PURLIN,200X65X15NB,7.203,34.57,0.333
303,PURLIN,200X65X15NB,7.203,34.57,0.333
304,PURLIN,200X65X15NB,7.203,34.57,0.333
305,PURLIN,200X65X15NB,7.203,34.57,0.333
306,PURLIN,200X65X15NB,7.203,34.57,0.333
307,PURLIN,200X65X15NB,7.203,34.57,0.333
308,PURLIN,200X65X15NB,7.203,34.57,0.333
309,PURLIN,200X65X15NB,7.203,34.57,0.333
310,PURLIN,200X65X15NB,7.203,34.57,0.333
311,PURLIN,200X65X15NB,7.203,34.57,0.333
312,PURLIN,200X65X15NB,7.203,34.57,0.333
313,PURLIN,200X65X15NB,7.203,34.57,0.333
314,PURLIN,200X65X15NB,7.203,34.57,0.333
315,PURLIN,200X65X15NB,7.203,34.57,0.333
316,PURLIN,200X65X15NB,7.203,34.57,0.333
317,PURLIN,200X65X15NB,7.203,34.57,0.333
318,PURLIN,200X65X15NB,7.203,34.57,0.333
319,PURLIN,200X65X15NB,7.203,34.57,0.333
320,PURLIN,200X65X15NB,7.203,34.57,0.333
321,PURLIN,200X65X15NB,7.203,34.57,0.333
322,PURLIN,200X65X15NB,7.203,34.57,0.333
323,PURLIN,200X65X15NB,7.203,34.57,0.333
324,GIRT,200X65X15NB,7.203,34.57,0.333
325,GIRT,200X65X15NB,7.203,34.57,0.333
326,GIRT,200X65X15NB,7.203,34.57,0.333
327,GIRT,200X65X15NB,7.203,34.57,0.333
328,PURLIN,200X65X15NB,7.203,34.57,0.333
329,PURLIN,200X65X15NB,7.203,34.57,0.333
330,PURLIN,200X65X15NB,7.203,34.57,0.333
331,PURLIN,200X65X15NB,7.203,34.57,0.333
332,PURLIN,200X65X15NB,7.203,34.57,0.333
333,PURLIN,200X65X15NB,7.203,34.57,0.333
334,PURLIN,200X65X15NB,7.203,34.57,0.333
335,PURLIN,200X65X15NB,7.203,34.57,0.333
336,PURLIN,200X65X15NB,7.203,34.57,0.333
337,PURLIN,200X65X15NB,7.203,34.57,0.333
338,PURLIN,200X65X15NB,7.203,34.57,0.333
339,PURLIN,200X65X15NB,7.203,34.57,0.333
340,PURLIN,200X65X15NB,7.203,34.57,0.333
341,PURLIN,200X65X15NB,7.203,34.57,0.333
342,PURLIN,200X65X15NB,7.203,34.57,0.333
343,PURLIN,200X65X15NB,7.203,34.57,0.333
344,PURLIN,200X65X15NB,7.203,34.57,0.333
345,PURLIN,200X65X15NB,7.203,34.57,0.333
346,PURLIN,200X65X15NB,7.203,34.57,0.333
347,PURLIN,200X65X15NB,7.203,34.57,0.333
348,PURLIN,200X65X15NB,7.203,34.57,0.333
349,PURLIN,200X65X15NB,7.203,34.57,0.333
350,PURLIN,200X65X15NB,7.203,34.57,0.333
351,PURLIN,200X65X15NB,7.203,34.57,0.333
352,PURLIN,200X65X15NB,7.203,34.57,0.333
353,PURLIN,200X65X15NB,7.203,34.57,0.333
354,PURLIN,200X65X15NB,7.203,34.57,0.333
355,GIRT,200X65X15NB,7.203,34.57,0.333
356,GIRT,200X65X15NB,7.203,34.57,0.333
357,GIRT,200X65X15NB,7.203,34.57,0.333
358,GIRT,200X65X15NB,7.203,34.57,0.333
359,PURLIN,200X65X15NB,7.203,34.57,0.333
360,PURLIN,200X65X15NB,7.203,34.57,0.333
361,PURLIN,200X65X15NB,7.203,34.57,0.333
362,PURLIN,200X65X15NB,7.203,34.57,0.333
363,PURLIN,200X65X15NB,7.203,34.57,0.333
364,PURLIN,200X65X15NB,7.203,34.57,0.333
365,PURLIN,200X65X15NB,7.203,34.57,0.333
366,PURLIN,200X65X15NB,7.203,34.57,0.333
367,PURLIN,200X65X15NB,7.203,34.57,0.333
368,PURLIN,200X65X15NB,7.203,34.57,0.333
369,PURLIN,200X65X15NB,7.203,34.57,0.333
370,PURLIN,200X65X15NB,7.203,34.57,0.333
371,PURLIN,200X65X15NB,7.203,34.57,0.333
372,PURLIN,200X65X15NB,7.203,34.57,0.333
373,PURLIN,200X65X15NB,7.203,34.57,0.333
374,PURLIN,200X65X15NB,7.203,34.57,0.333
375,PURLIN,200X65X15NB,7.203,34.57,0.333
376,PURLIN,200X65X15NB,7.203,34.57,0.333
377,PURLIN,200X65X15NB,7.203,34.57,0.333
378,PURLIN,200X65X15NB,7.203,34.57,0.333
379,PURLIN,200X65X15NB,7.203,34.57,0.333
380,PURLIN,200X65X15NB,7.203,34.57,0.333
381,PURLIN,200X65X15NB,7.203,34.57,0.333
382,PURLIN,200X65X15NB,7.203,34.57,0.333
383,PURLIN,200X65X15NB,7.203,34.57,0.333
384,PURLIN,200X65X15NB,7.203,34.57,0.333
385,PURLIN,200X65X15NB,7.203,34.57,0.333
386,GIRT,200X65X15NB,7.203,34.57,0.333
387,GIRT,200X65X15NB,7.203,34.57,0.333
388,GIRT,200X65X15NB,7.203,34.57,0.333
389,GIRT,200X65X15NB,7.203,34.57,0.333
390,PURLIN,200X65X15NB,7.203,34.57,0.333
391,PURLIN,200X65X15NB,7.203,34.57,0.333
392,PURLIN,200X65X15NB,7.203,34.57,0.333
393,PURLIN,200X65X15NB,7.203,34.57,0.333
394,PURLIN,200X65X15NB,7.203,34.57,0.333
395,PURLIN,200X65X15NB,7.203,34.57,0.333
396,PURLIN,200X65X15NB,7.203,34.57,0.333
397,PURLIN,200X65X15NB,7.203,34.57,0.333
398,PURLIN,200X65X15NB,7.203,34.57,0.333
399,PURLIN,200X65X15NB,7.203,34.57,0.333
400,PURLIN,200X65X15NB,7.203,34.57,0.333
401,PURLIN,200X65X15NB,7.203,34.57,0.333
402,PURLIN,200X65X15NB,7.203,34.57,0.333
403,PURLIN,200X65X15NB,7.203,34.57,0.333
404,PURLIN,200X65X15NB,7.203,34.57,0.333
405,PURLIN,200X65X15NB,7.203,34.57,0.333
406,PURLIN,200X65X15NB,7.203,34.57,0.333
407,PURLIN,200X65X15NB,7.203,34.57,0.333
408,PURLIN,200X65X15NB,7.203,34.57,0.333
409,PURLIN,200X65X15NB,7.203,34.57,0.333
410,PURLIN,200X65X15NB,7.203,34.57,0.333
411,PURLIN,200X65X15NB,7.203,34.57,0.333
412,PURLIN,200X65X15NB,7.203,34.57,0.333
413,PURLIN,200X65X15NB,7.203,34.57,0.333
414,PURLIN,200X65X15NB,7.203,34.57,0.333
415,PURLIN,200X65X15NB,7.203,34.57,0.333
416,PURLIN,200X65X15NB,7.203,34.57,0.333
417,GIRT,200X65X15NB,7.203,34.57,0.333
418,GIRT,200X65X15NB,7.203,34.57,0.333
419,GIRT,200X65X15NB,7.203,34.57,0.333
420,GIRT,200X65X15NB,7.203,34.57,0.333
421,PURLIN,200X65X15NB,7.203,34.57,0.333
422,PURLIN,200X65X15NB,7.203,34.57,0.333
423,PURLIN,200X65X15NB,7.203,34.57,0.333
424,PURLIN,200X65X15NB,7.203,34.57,0.333
425,PURLIN,200X65X15NB,7.203,34.57,0.333
426,PURLIN,200X65X15NB,7.203,34.57,0.333
427,PURLIN,200X65X15NB,7.203,34.57,0.333
428,PURLIN,200X65X15NB,7.203,34.57,0.333
429,PURLIN,200X65X15NB,7.203,34.57,0.333
430,PURLIN,200X65X15NB,7.203,34.57,0.333
431,PURLIN,200X65X15NB,7.203,34.57,0.333
432,PURLIN,200X65X15NB,7.203,34.57,0.333
433,PURLIN,200X65X15NB,7.203,34.57,0.333
434,PURLIN,200X65X15NB,7.203,34.57,0.333
435,PURLIN,200X65X15NB,7.203,34.57,0.333
436,PURLIN,200X65X15NB,7.203,34.57,0.333
437,PURLIN,200X65X15NB,7.203,34.57,0.333
438,PURLIN,200X65X15NB,7.203,34.57,0.333
439,PURLIN,200X65X15NB,7.203,34.57,0.333
440,PURLIN,200X65X15NB,7.203,34.57,0.333
441,PURLIN,200X65X15NB,7.203,34.57,0.333
442,PURLIN,200X65X15NB,7.203,34.57,0.333
443,PURLIN,200X65X15NB,7.203,34.57,0.333
444,PURLIN,200X65X15NB,7.203,34.57,0.333
445,PURLIN,200X65X15NB,7.203,34.57,0.333
446,PURLIN,200X65X15NB,7.203,34.57,0.333
447,PURLIN,200X65X15NB,7.203,34.57,0.333
448,GIRT,200X65X15NB,7.203,34.57,0.333
449,GIRT,200X65X15NB,7.203,34.57,0.333
450,GIRT,200X65X15NB,7.203,34.57,0.333
451,GIRT,200X65X15NB,7.203,34.57,0.333
452,PURLIN,200X65X15NB,7.203,34.57,0.333
453,PURLIN,200X65X15NB,7.203,34.57,0.333
454,PURLIN,200X65X15NB,7.203,34.57,0.333
455,PURLIN,200X65X15NB,7.203,34.57,0.333
456,PURLIN,200X65X15NB,7.203,34.57,0.333
457,PURLIN,200X65X15NB,7.203,34.57,0.333
458,PURLIN,200X65X15NB,7.203,34.57,0.333
459,PURLIN,200X65X15NB,7.203,34.57,0.333
460,PURLIN,200X65X15NB,7.203,34.57,0.333
461,PURLIN,200X65X15NB,7.203,34.57,0.333
462,PURLIN,200X65X15NB,7.203,34.57,0.333
463,PURLIN,200X65X15NB,7.203,34.57,0.333
464,PURLIN,200X65X15NB,7.203,34.57,0.333
465,PURLIN,200X65X15NB,7.203,34.57,0.333
466,PURLIN,200X65X15NB,7.203,34.57,0.333
467,PURLIN,200X65X15NB,7.203,34.57,0.333
468,PURLIN,200X65X15NB,7.203,34.57,0.333
469,PURLIN,200X65X15NB,7.203,34.57,0.333
470,PURLIN,200X65X15NB,7.203,34.57,0.333
471,PURLIN,200X65X15NB,7.203,34.57,0.333
472,PURLIN,200X65X15NB,7.203,34.57,0.333
473,PURLIN,200X65X15NB,7.203,34.57,0.333
474,PURLIN,200X65X15NB,7.203,34.57,0.333
475,PURLIN,200X65X15NB,7.203,34.57,0.333
476,PURLIN,200X65X15NB,7.203,34.57,0.333
477,PURLIN,200X65X15NB,7.203,34.57,0.333
478,PURLIN,200X65X15NB,7.203,34.57,0.333
479,GIRT,200X65X15NB,7.203,34.57,0.333
480,GIRT,200X65X15NB,7.203,34.57,0.333
481,GIRT,200X65X15NB,7.203,34.57,0.333
482,GIRT,200X65X15NB,7.203,34.57,0.333
483,PURLIN,200X65X15NB,7.203,34.57,0.333
484,PURLIN,200X65X15NB,7.203,34.57,0.333
485,PURLIN,200X65X15NB,7.203,34.57,0.333
486,PURLIN,200X65X15NB,7.203,34.57,0.333
487,PURLIN,200X65X15NB,7.203,34.57,0.333
488,PURLIN,200X65X15NB,7.203,34.57,0.333
489,PURLIN,200X65X15NB,7.203,34.57,0.333
490,PURLIN,200X65X15NB,7.203,34.57,0.333
491,PURLIN,200X65X15NB,7.203,34.57,0.333
492,PURLIN,200X65X15NB,7.203,34.57,0.333
493,PURLIN,200X65X15NB,7.203,34.57,0.333
494,PURLIN,200X65X15NB,7.203,34.57,0.333
495,PURLIN,200X65X15NB,7.203,34.57,0.333
496,PURLIN,200X65X15NB,7.203,34.57,0.333
497,PURLIN,200X65X15NB,7.203,34.57,0.333
498,PURLIN,200X65X15NB,7.203,34.57,0.333
499,PURLIN,200X65X15NB,7.203,34.57,0.333
500,PURLIN,200X65X15NB,7.203,34.57,0.333
501,PURLIN,200X65X15NB,7.203,34.57,0.333
502,PURLIN,200X65X15NB,7.203,34.57,0.333
503,PURLIN,200X65X15NB,7.203,34.57,0.333
504,PURLIN,200X65X15NB,7.203,34.57,0.333
505,PURLIN,200X65X15NB,7.203,34.57,0.333
506,PURLIN,200X65X15NB,7.203,34.57,0.333
507,PURLIN,200X65X15NB,7.203,34.57,0.333
508,PURLIN,200X65X15NB,7.203,34.57,0.333
509,PURLIN,200X65X15NB,7.203,34.57,0.333
510,GIRT,200X65X15NB,7.203,34.57,0.333
511,GIRT,200X65X15NB,7.203,34.57,0.333
512,GIRT,200X65X15NB,7.203,34.57,0.333
513,GIRT,200X65X15NB,7.203,34.57,0.333
514,PURLIN,200X65X15NB,7.203,34.57,0.333
515,PURLIN,200X65X15NB,7.203,34.57,0.333
516,PURLIN,200X65X15NB,7.203,34.57,0.333
517,PURLIN,200X65X15NB,7.203,34.57,0.333
518,PURLIN,200X65X15NB,7.203,34.57,0.333
519,PURLIN,200X65X15NB,7.203,34.57,0.333
520,PURLIN,200X65X15NB,7.203,34.57,0.333
521,PURLIN,200X65X15NB,7.203,34.57,0.333
522,PURLIN,200X65X15NB,7.203,34.57,0.333
523,PURLIN,200X65X15NB,7.203,34.57,0.333
524,PURLIN,200X65X15NB,7.203,34.57,0.333
525,PURLIN,200X65X15NB,7.203,34.57,0.333
526,PURLIN,200X65X15NB,7.203,34.57,0.333
527,PURLIN,200X65X15NB,7.203,34.57,0.333
528,PURLIN,200X65X15NB,7.203,34.57,0.333
529,PURLIN,200X65X15NB,7.203,34.57,0.333
530,PURLIN,200X65X15NB,7.203,34.57,0.333
531,PURLIN,200X65X15NB,7.203,34.57,0.333
532,PURLIN,200X65X15NB,7.203,34.57,0.333
533,PURLIN,200X65X15NB,7.203,34.57,0.333
534,PURLIN,200X65X15NB,7.203,34.57,0.333
535,PURLIN,200X65X15NB,7.203,34.57,0.333
536,PURLIN,200X65X15NB,7.203,34.57,0.333
537,PURLIN,200X65X15NB,7.203,34.57,0.333
538,PURLIN,200X65X15NB,7.203,34.57,0.333
539,PURLIN,200X65X15NB,7.203,34.57,0.333
540,PURLIN,200X65X15NB,7.203,34.57,0.333
541,GIRT,200X65X15NB,7.203,34.57,0.333
542,GIRT,200X65X15NB,7.203,34.57,0.333
543,GIRT,200X65X15NB,7.203,34.57,0.333
544,GIRT,200X65X15NB,7.203,34.57,0.333
545,PURLIN,200X65X15NB,7.203,34.57,0.333
546,PURLIN,200X65X15NB,7.203,34.57,0.333
547,PURLIN,200X65X15NB,7.203,34.57,0.333
548,PURLIN,200X65X15NB,7.203,34.57,0.333
549,PURLIN,200X65X15NB,7.203,34.57,0.333
550,PURLIN,200X65X15NB,7.203,34.57,0.333
551,PURLIN,200X65X15NB,7.203,34.57,0.333
552,PURLIN,200X65X15NB,7.203,34.57,0.333
553,PURLIN,200X65X15NB,7.203,34.57,0.333
554,PURLIN,200X65X15NB,7.203,34.57,0.333
555,PURLIN,200X65X15NB,7.203,34.57,0.333
556,PURLIN,200X65X15NB,7.203,34.57,0.333
