Member,Type,Section,Length_m,Total_kg,UR
557,PURLIN,200X65X15NB,7.203,34.57,0.333
558,PURLIN,200X65X15NB,7.203,34.57,0.333
559,PURLIN,200X65X15NB,7.203,34.57,0.333
560,PURLIN,200X65X15NB,7.203,34.57,0.333
561,PURLIN,200X65X15NB,7.203,34.57,0.333
562,PURLIN,200X65X15NB,7.203,34.57,0.333
563,PURLIN,200X65X15NB,7.203,34.57,0.333
564,PURLIN,200X65X15NB,7.203,34.57,0.333
565,PURLIN,200X65X15NB,7.203,34.57,0.333
566,PURLIN,200X65X15NB,7.203,34.57,0.333
567,PURLIN,200X65X15NB,7.203,34.57,0.333
568,PURLIN,200X65X15NB,7.203,34.57,0.333
569,PURLIN,200X65X15NB,7.203,34.57,0.333
570,PURLIN,200X65X15NB,7.203,34.57,0.333
571,PURLIN,200X65X15NB,7.203,34.57,0.333
572,GIRT,200X65X15NB,7.203,34.57,0.333
573,GIRT,200X65X15NB,7.203,34.57,0.333
574,GIRT,200X65X15NB,7.203,34.57,0.333
575,GIRT,200X65X15NB,7.203,34.57,0.333
576,PURLIN,200X65X15NB,7.203,34.57,0.333
577,PURLIN,200X65X15NB,7.203,34.57,0.333
578,PURLIN,200X65X15NB,7.203,34.57,0.333
579,PURLIN,200X65X15NB,7.203,34.57,0.333
580,PURLIN,200X65X15NB,7.203,34.57,0.333
581,PURLIN,200X65X15NB,7.203,34.57,0.333
582,PURLIN,200X65X15NB,7.203,34.57,0.333
583,PURLIN,200X65X15NB,7.203,34.57,0.333
584,PURLIN,200X65X15NB,7.203,34.57,0.333
585,PURLIN,200X65X15NB,7.203,34.57,0.333
586,PURLIN,200X65X15NB,7.203,34.57,0.333
587,PURLIN,200X65X15NB,7.203,34.57,0.333
588,PURLIN,200X65X15NB,7.203,34.57,0.333
589,PURLIN,200X65X15NB,7.203,34.57,0.333
590,PURLIN,200X65X15NB,7.203,34.57,0.333
591,PURLIN,200X65X15NB,7.203,34.57,0.333
592,PURLIN,200X65X15NB,7.203,34.57,0.333
593,PURLIN,200X65X15NB,7.203,34.57,0.333
594,PURLIN,200X65X15NB,7.203,34.57,0.333
595,PURLIN,200X65X15NB,7.203,34.57,0.333
596,PURLIN,200X65X15NB,7.203,34.57,0.333
597,PURLIN,200X65X15NB,7.203,34.57,0.333
598,PURLIN,200X65X15NB,7.203,34.57,0.333
599,PURLIN,200X65X15NB,7.203,34.57,0.333
600,PURLIN,200X65X15NB,7.203,34.57,0.333
601,PURLIN,200X65X15NB,7.203,34.57,0.333
602,PURLIN,200X65X15NB,7.203,34.57,0.333
603,GIRT,200X65X15NB,7.203,34.57,0.333
604,GIRT,200X65X15NB,7.203,34.57,0.333
605,GIRT,200X65X15NB,7.203,34.57,0.333
606,GIRT,200X65X15NB,7.203,34.57,0.333
607,PURLIN,200X65X15NB,7.203,34.57,0.333
608,PURLIN,200X65X15NB,7.203,34.57,0.333
609,PURLIN,200X65X15NB,7.203,34.57,0.333
610,PURLIN,200X65X15NB,7.203,34.57,0.333
611,PURLIN,200X65X15NB,7.203,34.57,0.333
612,PURLIN,200X65X15NB,7.203,34.57,0.333
613,PURLIN,200X65X15NB,7.203,34.57,0.333
614,PURLIN,200X65X15NB,7.203,34.57,0.333
615,PURLIN,200X65X15NB,7.203,34.57,0.333
616,PURLIN,200X65X15NB,7.203,34.57,0.333
617,PURLIN,200X65X15NB,7.203,34.57,0.333
618,PURLIN,200X65X15NB,7.203,34.57,0.333
619,PURLIN,200X65X15NB,7.203,34.57,0.333
620,PURLIN,200X65X15NB,7.203,34.57,0.333
621,PURLIN,200X65X15NB,7.203,34.57,0.333
622,PURLIN,200X65X15NB,7.203,34.57,0.333
623,PURLIN,200X65X15NB,7.203,34.57,0.333
624,PURLIN,200X65X15NB,7.203,34.57,0.333
625,PURLIN,200X65X15NB,7.203,34.57,0.333
626,PURLIN,200X65X15NB,7.203,34.57,0.333
627,PURLIN,200X65X15NB,7.203,34.57,0.333
628,PURLIN,200X65X15NB,7.203,34.57,0.333
629,PURLIN,200X65X15NB,7.203,34.57,0.333
630,PURLIN,200X65X15NB,7.203,34.57,0.333
631,PURLIN,200X65X15NB,7.203,34.57,0.333
632,PURLIN,200X65X15NB,7.203,34.57,0.333
633,PURLIN,200X65X15NB,7.203,34.57,0.333
634,GIRT,200X65X15NB,7.203,34.57,0.333
635,GIRT,200X65X15NB,7.203,34.57,0.333
636,GIRT,200X65X15NB,7.203,34.57,0.333
637,GIRT,200X65X15NB,7.203,34.57,0.333
638,BRACING,ISA75X75X6,9.375,63.75,0.2
639,BRACING,ISA75X75X6,9.375,63.75,0.2
640,BRACING,ISA75X75X6,9.375,63.75,0.2
641,BRACING,ISA75X75X6,9.375,63.75,0.2
642,BRACING,ISA75X75X6,21.243,144.45,0.2
643,BRACING,ISA75X75X6,21.243,144.45,0.2
644,BRACING,ISA75X75X6,21.243,144.45,0.2
645,BRACING,ISA75X75X6,21.243,144.45,0.2
646,CAGE_LADDER,ISA75X75X6,6.0,40.8,0.2
647,MEZZ_BEAM,WB350,39.77,2262.91,0.794
648,MEZZ_BEAM,WB350,39.77,2262.91,0.794
649,MEZZ_BEAM,WB350,39.77,2262.91,0.794
650,MEZZ_BEAM,WB350,39.77,2262.91,0.794
651,MEZZ_BEAM,WB350,39.77,2262.91,0.794
652,MEZZ_BEAM,WB350,39.77,2262.91,0.794
653,MEZZ_BEAM,WB350,39.77,2262.91,0.794
654,MEZZ_BEAM,WB350,39.77,2262.91,0.794
655,MEZZ_BEAM,WB350,39.77,2262.91,0.794
656,MEZZ_BEAM,WB350,39.77,2262.91,0.794
657,MEZZ_BEAM,WB350,39.77,2262.91,0.794
658,MEZZ_BEAM,WB350,39.77,2262.91,0.794
659,MEZZ_BEAM,WB350,39.77,2262.91,0.794
660,MEZZ_BEAM,WB350,39.77,2262.91,0.794
661,MEZZ_BEAM,WB350,39.77,2262.91,0.794
662,MEZZ_BEAM,WB350,39.77,2262.91,0.794
663,MEZZ_BEAM,WB350,39.77,2262.91,0.794
664,MEZZ_JOIST,WB300,7.203,332.06,0.333
665,MEZZ_JOIST,WB300,7.203,332.06,0.333
666,MEZZ_JOIST,WB300,7.203,332.06,0.333
667,MEZZ_JOIST,WB300,7.203,332.06,0.333
668,MEZZ_JOIST,WB300,7.203,332.06,0.333
669,MEZZ_JOIST,WB300,7.203,332.06,0.333
670,MEZZ_JOIST,WB300,7.203,332.06,0.333
671,MEZZ_JOIST,WB300,7.203,332.06,0.333
672,MEZZ_JOIST,WB300,7.203,332.06,0.333
673,MEZZ_JOIST,WB300,7.203,332.06,0.333
674,MEZZ_JOIST,WB300,7.203,332.06,0.333
675,MEZZ_JOIST,WB300,7.203,332.06,0.333
676,MEZZ_JOIST,WB300,7.203,332.06,0.333
677,MEZZ_JOIST,WB300,7.203,332.06,0.333
678,MEZZ_JOIST,WB300,7.203,332.06,0.333
679,MEZZ_JOIST,WB300,7.203,332.06,0.333
680,MEZZ_JOIST,WB300,7.203,332.06,0.333
681,MEZZ_JOIST,WB300,7.203,332.06,0.333
682,MEZZ_JOIST,WB300,7.203,332.06,0.333
683,MEZZ_JOIST,WB300,7.203,332.06,0.333
684,MEZZ_JOIST,WB300,7.203,332.06,0.333
685,MEZZ_JOIST,WB300,7.203,332.06,0.333
686,MEZZ_JOIST,WB300,7.203,332.06,0.333
687,MEZZ_JOIST,WB300,7.203,332.06,0.333
688,MEZZ_JOIST,WB300,7.203,332.06,0.333
689,MEZZ_JOIST,WB300,7.203,332.06,0.333
690,MEZZ_JOIST,WB300,7.203,332.06,0.333
691,MEZZ_JOIST,WB300,7.203,332.06,0.333
692,MEZZ_JOIST,WB300,7.203,332.06,0.333
693,MEZZ_JOIST,WB300,7.203,332.06,0.333
694,MEZZ_JOIST,WB300,7.203,332.06,0.333
695,MEZZ_JOIST,WB300,7.203,332.06,0.333
696,MEZZ_JOIST,WB300,7.203,332.06,0.333
697,MEZZ_JOIST,WB300,7.203,332.06,0.333
698,MEZZ_JOIST,WB300,7.203,332.06,0.333
699,MEZZ_JOIST,WB300,7.203,332.06,0.333
700,MEZZ_JOIST,WB300,7.203,332.06,0.333
701,MEZZ_JOIST,WB300,7.203,332.06,0.333
702,MEZZ_JOIST,WB300,7.203,332.06,0.333
703,MEZZ_JOIST,WB300,7.203,332.06,0.333
704,MEZZ_JOIST,WB300,7.203,332.06,0.333
705,MEZZ_JOIST,WB300,7.203,332.06,0.333
706,MEZZ_JOIST,WB300,7.203,332.06,0.333
707,MEZZ_JOIST,WB300,7.203,332.06,0.333
708,MEZZ_JOIST,WB300,7.203,332.06,0.333
709,MEZZ_JOIST,WB300,7.203,332.06,0.333
710,MEZZ_JOIST,WB300,7.203,332.06,0.333
711,MEZZ_JOIST,WB300,7.203,332.06,0.333
712,MEZZ_JOIST,WB300,7.203,332.06,0.333
713,MEZZ_JOIST,WB300,7.203,332.06,0.333
714,MEZZ_JOIST,WB300,7.203,332.06,0.333
715,MEZZ_JOIST,WB300,7.203,332.06,0.333
716,MEZZ_JOIST,WB300,7.203,332.06,0.333
717,MEZZ_JOIST,WB300,7.203,332.06,0.333
718,MEZZ_JOIST,WB300,7.203,332.06,0.333
719,MEZZ_JOIST,WB300,7.203,332.06,0.333
720,MEZZ_JOIST,WB300,7.203,332.06,0.333
721,MEZZ_JOIST,WB300,7.203,332.06,0.333
722,MEZZ_JOIST,WB300,7.203,332.06,0.333
723,MEZZ_JOIST,WB300,7.203,332.06,0.333
724,MEZZ_JOIST,WB300,7.203,332.06,0.333
725,MEZZ_JOIST,WB300,7.203,332.06,0.333
726,MEZZ_JOIST,WB300,7.203,332.06,0.333
727,MEZZ_JOIST,WB300,7.203,332.06,0.333
728,MEZZ_JOIST,WB300,7.203,332.06,0.333
729,MEZZ_JOIST,WB300,7.203,332.06,0.333
730,MEZZ_JOIST,WB300,7.203,332.06,0.333
731,MEZZ_JOIST,WB300,7.203,332.06,0.333
732,MEZZ_JOIST,WB300,7.203,332.06,0.333
733,MEZZ_JOIST,WB300,7.203,332.06,0.333
734,MEZZ_JOIST,WB300,7.203,332.06,0.333
735,MEZZ_JOIST,WB300,7.203,332.06,0.333
736,MEZZ_JOIST,WB300,7.203,332.06,0.333
737,MEZZ_JOIST,WB300,7.203,332.06,0.333
738,MEZZ_JOIST,WB300,7.203,332.06,0.333
739,MEZZ_JOIST,WB300,7.203,332.06,0.333
740,MEZZ_JOIST,WB300,7.203,332.06,0.333
741,MEZZ_JOIST,WB300,7.203,332.06,0.333
742,MEZZ_JOIST,WB300,7.203,332.06,0.333
743,MEZZ_JOIST,WB300,7.203,332.06,0.333
744,MEZZ_JOIST,WB300,7.203,332.06,0.333
745,MEZZ_JOIST,WB300,7.203,332.06,0.333
746,MEZZ_JOIST,WB300,7.203,332.06,0.333
747,MEZZ_JOIST,WB300,7.203,332.06,0.333
748,MEZZ_JOIST,WB300,7.203,332.06,0.333
749,MEZZ_JOIST,WB300,7.203,332.06,0.333
750,MEZZ_JOIST,WB300,7.203,332.06,0.333
751,MEZZ_JOIST,WB300,7.203,332.06,0.333
752,MEZZ_JOIST,WB300,7.203,332.06,0.333
753,MEZZ_JOIST,WB300,7.203,332.06,0.333
754,MEZZ_JOIST,WB300,7.203,332.06,0.333
755,MEZZ_JOIST,WB300,7.203,332.06,0.333
756,MEZZ_JOIST,WB300,7.203,332.06,0.333
757,MEZZ_JOIST,WB300,7.203,332.06,0.333
758,MEZZ_JOIST,WB300,7.203,332.06,0.333
759,MEZZ_JOIST,WB300,7.203,332.06,0.333
760,MEZZ_JOIST,WB300,7.203,332.06,0.333
761,MEZZ_JOIST,WB300,7.203,332.06,0.333
762,MEZZ_JOIST,WB300,7.203,332.06,0.333
763,MEZZ_JOIST,WB300,7.203,332.06,0.333
764,MEZZ_JOIST,WB300,7.203,332.06,0.333
765,MEZZ_JOIST,WB300,7.203,332.06,0.333
766,MEZZ_JOIST,WB300,7.203,332.06,0.333
767,MEZZ_JOIST,WB300,7.203,332.06,0.333
768,MEZZ_JOIST,WB300,7.203,332.06,0.333
769,MEZZ_JOIST,WB300,7.203,332.06,0.333
770,MEZZ_JOIST,WB300,7.203,332.06,0.333
771,MEZZ_JOIST,WB300,7.203,332.06,0.333
772,MEZZ_JOIST,WB300,7.203,332.06,0.333
773,MEZZ_JOIST,WB300,7.203,332.06,0.333
774,MEZZ_JOIST,WB300,7.203,332.06,0.333
775,MEZZ_JOIST,WB300,7.203,332.06,0.333
776,MEZZ_JOIST,WB300,7.203,332.06,0.333
777,MEZZ_JOIST,WB300,7.203,332.06,0.333
778,MEZZ_JOIST,WB300,7.203,332.06,0.333
779,MEZZ_JOIST,WB300,7.203,332.06,0.333
780,MEZZ_JOIST,WB300,7.203,332.06,0.333
781,MEZZ_JOIST,WB300,7.203,332.06,0.333
782,MEZZ_JOIST,WB300,7.203,332.06,0.333
783,MEZZ_JOIST,WB300,7.203,332.06,0.333
784,MEZZ_JOIST,WB300,7.203,332.06,0.333
785,MEZZ_JOIST,WB300,7.203,332.06,0.333
786,MEZZ_JOIST,WB300,7.203,332.06,0.333
787,MEZZ_JOIST,WB300,7.203,332.06,0.333
788,MEZZ_JOIST,WB300,7.203,332.06,0.333
789,MEZZ_JOIST,WB300,7.203,332.06,0.333
790,MEZZ_JOIST,WB300,7.203,332.06,0.333
791,MEZZ_JOIST,WB300,7.203,332.06,0.333
792,MEZZ_JOIST,WB300,7.203,332.06,0.333
793,MEZZ_JOIST,WB300,7.203,332.06,0.333
794,MEZZ_JOIST,WB300,7.203,332.06,0.333
795,MEZZ_JOIST,WB300,7.203,332.06,0.333
796,MEZZ_JOIST,WB300,7.203,332.06,0.333
797,MEZZ_JOIST,WB300,7.203,332.06,0.333
798,MEZZ_JOIST,WB300,7.203,332.06,0.333
799,MEZZ_JOIST,WB300,7.203,332.06,0.333
800,MEZZ_JOIST,WB300,7.203,332.06,0.333
801,MEZZ_JOIST,WB300,7.203,332.06,0.333
802,MEZZ_JOIST,WB300,7.203,332.06,0.333
803,MEZZ_JOIST,WB300,7.203,332.06,0.333
804,MEZZ_JOIST,WB300,7.203,332.06,0.333
805,MEZZ_JOIST,WB300,7.203,332.06,0.333
806,MEZZ_JOIST,WB300,7.203,332.06,0.333
807,MEZZ_JOIST,WB300,7.203,332.06,0.333
808,MEZZ_JOIST,WB300,7.203,332.06,0.333
809,MEZZ_JOIST,WB300,7.203,332.06,0.333
810,MEZZ_JOIST,WB300,7.203,332.06,0.333
811,MEZZ_JOIST,WB300,7.203,332.06,0.333
812,MEZZ_JOIST,WB300,7.203,332.06,0.333
813,MEZZ_JOIST,WB300,7.203,332.06,0.333
814,MEZZ_JOIST,WB300,7.203,332.06,0.333
815,MEZZ_JOIST,WB300,7.203,332.06,0.333
816,MEZZ_JOIST,WB300,7.203,332.06,0.333
817,MEZZ_JOIST,WB300,7.203,332.06,0.333
818,MEZZ_JOIST,WB300,7.203,332.06,0.333
819,MEZZ_JOIST,WB300,7.203,332.06,0.333
820,MEZZ_JOIST,WB300,7.203,332.06,0.333
821,MEZZ_JOIST,WB300,7.203,332.06,0.333
822,MEZZ_JOIST,WB300,7.203,332.06,0.333
823,MEZZ_JOIST,WB300,7.203,332.06,0.333
824,MEZZ_JOIST,WB300,7.203,332.06,0.333
825,MEZZ_JOIST,WB300,7.203,332.06,0.333
826,MEZZ_JOIST,WB300,7.203,332.06,0.333
827,MEZZ_JOIST,WB300,7.203,332.06,0.333
828,MEZZ_JOIST,WB300,7.203,332.06,0.333
829,MEZZ_JOIST,WB300,7.203,332.06,0.333
830,MEZZ_JOIST,WB300,7.203,332.06,0.333
831,MEZZ_JOIST,WB300,7.203,332.06,0.333
832,MEZZ_JOIST,WB300,7.203,332.06,0.333
833,MEZZ_JOIST,WB300,7.203,332.06,0.333
834,MEZZ_JOIST,WB300,7.203,332.06,0.333
835,MEZZ_JOIST,WB300,7.203,332.06,0.333
836,MEZZ_JOIST,WB300,7.203,332.06,0.333
837,MEZZ_JOIST,WB300,7.203,332.06,0.333
838,MEZZ_JOIST,WB300,7.203,332.06,0.333
839,MEZZ_JOIST,WB300,7.203,332.06,0.333
840,MEZZ_JOIST,WB300,7.203,332.06,0.333
841,MEZZ_JOIST,WB300,7.203,332.06,0.333
842,MEZZ_JOIST,WB300,7.203,332.06,0.333
843,MEZZ_JOIST,WB300,7.203,332.06,0.333
844,MEZZ_JOIST,WB300,7.203,332.06,0.333
845,MEZZ_JOIST,WB300,7.203,332.06,0.333
846,MEZZ_JOIST,WB300,7.203,332.06,0.333
847,MEZZ_JOIST,WB300,7.203,332.06,0.333
848,MEZZ_JOIST,WB300,7.203,332.06,0.333
849,MEZZ_JOIST,WB300,7.203,332.06,0.333
850,MEZZ_JOIST,WB300,7.203,332.06,0.333
851,MEZZ_JOIST,WB300,7.203,332.06,0.333
852,MEZZ_JOIST,WB300,7.203,332.06,0.333
853,MEZZ_JOIST,WB300,7.203,332.06,0.333
854,MEZZ_JOIST,WB300,7.203,332.06,0.333
855,MEZZ_JOIST,WB300,7.203,332.06,0.333
856,MEZZ_JOIST,WB300,7.203,332.06,0.333
857,MEZZ_JOIST,WB300,7.203,332.06,0.333
858,MEZZ_JOIST,WB300,7.203,332.06,0.333
859,MEZZ_JOIST,WB300,7.203,332.06,0.333
860,MEZZ_JOIST,WB300,7.203,332.06,0.333
861,MEZZ_JOIST,WB300,7.203,332.06,0.333
862,MEZZ_JOIST,WB300,7.203,332.06,0.333
863,MEZZ_JOIST,WB300,7.203,332.06,0.333
864,MEZZ_JOIST,WB300,7.203,332.06,0.333
865,MEZZ_JOIST,WB300,7.203,332.06,0.333
866,MEZZ_JOIST,WB300,7.203,332.06,0.333
867,MEZZ_JOIST,WB300,7.203,332.06,0.333
868,MEZZ_JOIST,WB300,7.203,332.06,0.333
869,MEZZ_JOIST,WB300,7.203,332.06,0.333
870,MEZZ_JOIST,WB300,7.203,332.06,0.333
871,MEZZ_JOIST,WB300,7.203,332.06,0.333
872,MEZZ_JOIST,WB300,7.203,332.06,0.333
873,MEZZ_JOIST,WB300,7.203,332.06,0.333
874,MEZZ_JOIST,WB300,7.203,332.06,0.333
875,MEZZ_JOIST,WB300,7.203,332.06,0.333
876,MEZZ_JOIST,WB300,7.203,332.06,0.333
877,MEZZ_JOIST,WB300,7.203,332.06,0.333
878,MEZZ_JOIST,WB300,7.203,332.06,0.333
879,MEZZ_JOIST,WB300,7.203,332.06,0.333
880,MEZZ_JOIST,WB300,7.203,332.06,0.333
881,MEZZ_JOIST,WB300,7.203,332.06,0.333
882,MEZZ_JOIST,WB300,7.203,332.06,0.333
883,MEZZ_JOIST,WB300,7.203,332.06,0.333
884,MEZZ_JOIST,WB300,7.203,332.06,0.333
885,MEZZ_JOIST,WB300,7.203,332.06,0.333
886,MEZZ_JOIST,WB300,7.203,332.06,0.333
887,MEZZ_JOIST,WB300,7.203,332.06,0.333
